id;canton;text;language
AG;AG;Alle Schulen, kant. Daten;de
AI1;AI;Alle Schulen;de
AI2;AI;Oberegg;de
AR;AR;Alle Schulen;de
BE1;BE;BE-d: Kindergarten, Volksschulen;de
BE2;BE;BE-f: Ecole obligatoire;fr
BL;BL;Alle Schulen;de
BL2;BL;Gymnasium Laufenthal-Thierstein;de
BS;BS;Alle Schulen;de
FL;FL;Alle Schulen;de
FR1;FR;Ecoles primaires (ville);fr
FR2;FR;Ecoles sec. II;fr
GE;GE;Toutes les écoles;fr
GL;GL;Alle Schulen;de
GR1;GR;Bündner Kantonsschule;de
GR2;GR;Chur Volksschule;de
GR3;GR;Davos Volksschule;de
GR4;GR;Mesolcina;de
JU;JU;Ecoles publiques;fr
LU;LU;Alle Schulen;de
NE;NE;Ecole obligatoire;fr
NW1;NW;Mittelschule;de
NW2;NW;Volksschule;de
OW1;OW;Alle Schulen ausser Engelberg;de
OW2;OW;Engelberg Volksschule und Gymnasium;de
SG;SG;Alle Schulen;de
SH;SH;Alle Schulen;de
SO;SO;Mittel- und  Berufsschulen;de
SZ;SZ;Volksschule;de
TG;TG;Alle Schulen;de
TI;TI;Tutte le scuole;it
UR;UR;Alle Schulen;de
VD;VD;Toutes les écoles;fr
VS1;VS;Oberwallis;de
VS2;VS;Romand;fr
VS3;VS;Alle Schulen ausser Tourismusgem;de
ZG;ZG;Öffentlich-rechtliche Schulen;de
ZH;ZH;Alle Schulen;de
