schoolId;types.school_sport;types.school_spring;types.school_summer;types.school_autumn;types.school_christmas
AG;-;10.04.2021-25.04.2021;17.07.2021-08.08.2021;02.10.2021-17.10.2021;24.12.2021-09.01.2022
AI1;12.02.2021-21.02.2021;10.04.2021-25.04.2021;03.07.2021-15.08.2021;09.10.2021-24.10.2021;18.12.2021-02.01.2022
AI2;30.01.2021-07.02.2021;10.04.2021-25.04.2021;10.07.2021-15.08.2021;02.10.2021-24.10.2021;18.12.2021-02.01.2022
AR;-;10.04.2021-25.04.2021;10.07.2021-15.08.2021;09.10.2021-24.10.2021;24.12.2021-02.01.2022
BE1;-;10.04.2021-25.04.2021;03.07.2021-15.08.2021;25.09.2021-17.10.2021;24.12.2021-09.01.2022
BE2;-;02.04.2021-18.04.2021;03.07.2021-15.08.2021;09.10.2021-24.10.2021;25.12.2021-09.01.2022
BL;13.02.2021-28.02.2021;27.03.2021-11.04.2021;03.07.2021-15.08.2021;02.10.2021-17.10.2021;18.12.2021-02.01.2022
BS;13.02.2021-28.02.2021;27.03.2021-11.04.2021;03.07.2021-15.08.2021;02.10.2021-17.10.2021;18.12.2021-02.01.2022
FL;13.02.2021-21.02.2021;01.04.2021-18.04.2021;03.07.2021-15.08.2021;02.10.2021-17.10.2021;24.12.2021-09.01.2022
FR1;13.02.2021-21.02.2021;02.04.2021-18.04.2021;10.07.2021-25.08.2021;16.10.2021-01.11.2021;24.12.2021-09.01.2022
FR2;13.02.2021-21.02.2021;02.04.2021-18.04.2021;03.07.2021-25.08.2021;16.10.2021-01.11.2021;24.12.2021-09.01.2022
GE;13.02.2021-21.02.2021;01.04.2021-11.04.2021;03.07.2021-29.08.2021;23.10.2021-31.10.2021;24.12.2021-09.01.2022
GL;30.01.2021-07.02.2021;02.04.2021-18.04.2021;03.07.2021-15.08.2021;09.10.2021-24.10.2021;24.12.2021-09.01.2022
GR1;27.02.2021-07.03.2021;17.04.2021-02.05.2021;03.07.2021-15.08.2021;09.10.2021-24.10.2021;23.12.2021-05.01.2022
GR2;27.02.2021-07.03.2021;17.04.2021-02.05.2021;26.06.2021-15.08.2021;09.10.2021-24.10.2021;23.12.2021-05.01.2022
GR3;27.02.2021-07.03.2021;24.04.2021-16.05.2021;03.07.2021-15.08.2021;09.10.2021-24.10.2021;23.12.2021-05.01.2022
GR4;13.02.2021-21.02.2021;02.04.2021-11.04.2021;19.06.2021-;-;-
JU;20.02.2021-28.02.2021;02.04.2021-18.04.2021;03.07.2021-15.08.2021;09.10.2021-24.10.2021;24.12.2021-09.01.2022
LU;06.02.2021-21.02.2021;02.04.2021-18.04.2021;10.07.2021-22.08.2021;02.10.2021-17.10.2021;18.12.2021-02.01.2022
NE;27.02.2021-07.03.2021;02.04.2021-18.04.2021;03.07.2021-15.08.2021;02.10.2021-17.10.2021;24.12.2021-09.01.2022
NW1;06.02.2021-21.02.2021;02.04.2021-18.04.2021;03.07.2021-22.08.2021;25.09.2021-10.10.2021;18.12.2021-02.01.2022
NW2;06.02.2021-21.02.2021;02.04.2021-18.04.2021;03.07.2021-15.08.2021;25.09.2021-10.10.2021;18.12.2021-02.01.2022
OW1;06.02.2021-21.02.2021;02.04.2021-18.04.2021;10.07.2021-22.08.2021;02.10.2021-17.10.2021;24.12.2021-06.01.2022
OW2;11.02.2021-21.02.2021;02.04.2021-18.02.2021;03.07.2021-15.08.2021;02.10.2021-24.10.2021;24.12.2021-06.01.2022
SG;-;10.04.2021-25.04.2021;10.07.2021-15.08.2021;02.10.2021-24.10.2021;18.12.2021-02.01.2022
SH;30.01.2021-14.02.2021;17.04.2021-02.05.2021;10.07.2021-15.08.2021;02.10.2021-24.10.2021;24.12.2021-02.01.2022
SO;06.02.2021-21.02.2021;10.04.2021-25.04.2021;10.07.2021-15.08.2021;02.10.2021-24.10.2021;25.12.2021-09.01.2022
SZ;27.02.2021-07.03.2021;01.05.2021-16.05.2021;10.07.2021-15.08.2021;02.10.2021-17.10.2021;24.12.2021-06.01.2022
TG;30.01.2021-07.02.2021;02.04.2021-18.04.2021;10.07.2021-15.08.2021;09.10.2021-24.10.2021;18.12.2021-02.01.2022
TI;13.02.2021-21.02.2021;02.04.2021-11.04.2021;19.06.2021-29.08.2021;30.10.2021-07.11.2021;24.12.2021-09.01.2022
UR;27.02.2021-07.03.2021;01.05.2021-16.05.2021;03.07.2021-15.08.2021;02.10.2021-17.10.2021;24.12.2021-09.01.2022
VD;20.02.2021-28.02.2021;02.04.2021-18.04.2021;03.07.2021-22.08.2021;16.10.2021-31.10.2021;24.12.2021-09.01.2022
VS1;20.02.2021-07.03.2021;08.05.2021-16.05.2021;26.06.2021-15.08.2021;09.10.2021-24.10.2021;24.12.2021-09.01.2022
VS2;13.02.2021-21.02.2021;02.04.2021-11.04.2021;19.06.2021-18.08.2021;13.10.2021-24.10.2021;24.12.2021-09.01.2022
ZG;06.02.2021-21.02.2021;17.04.2021-02.05.2021;03.07.2021-15.08.2021;02.10.2021-17.10.2021;23.12.2021-05.01.2022
ZH;-;24.04.2021-09.05.2021;17.07.2021-22.08.2021;09.10.2021-24.10.2021;18.12.2021-02.01.2022
